name,REFab
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64,27451
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32_AR,76574
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16_AR,101429
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16,101429
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32,27445
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64_AR,69316
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256,27043
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128_AR,66039
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512_AR,65202
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256_AR,65202
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512,27043
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128,27043
